vid,title,category,embed,thumbnail,channel,tag
2OtIUT2K6pE,Machine Learning Tutorial: How optimization for machine learning works : part 4,Machine Learning,"<iframe src=""https://www.youtube.com/embed/2OtIUT2K6pE&t=1s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/2OtIUT2K6pE&t=1s/hqdefault.jpg,Geek's Lesson,
M5sDgFMzTRg,How optimization for machine learning works - Part 3,Machine Learning,"<iframe src=""https://www.youtube.com/embed/M5sDgFMzTRg&t=2s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/M5sDgFMzTRg&t=2s/hqdefault.jpg,Geek's Lesson,
QSCSxPEo2Ww,Cyber Security Tutorial 6 -  Demystifying the Internet Part 2,Security,"<iframe src=""https://www.youtube.com/embed/QSCSxPEo2Ww&t=1s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/QSCSxPEo2Ww&t=1s/hqdefault.jpg,Geek's Lesson,
dNjJkp96hwU,Cyber Security Tutorial 5 -  Demystifying the Internet Part 1,Security,"<iframe src=""https://www.youtube.com/embed/dNjJkp96hwU"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/dNjJkp96hwU/hqdefault.jpg,Geek's Lesson,
3o-PhzBt-yE,How optimization for machine learning works - part 2,Machine Learning,"<iframe src=""https://www.youtube.com/embed/3o-PhzBt-yE&t=32s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/3o-PhzBt-yE&t=32s/hqdefault.jpg,Geek's Lesson,
WqNK9qtU2dU,Cyber Security Tutorial 4:  Demystifying Computers Part 2,Security,"<iframe src=""https://www.youtube.com/embed/WqNK9qtU2dU"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/WqNK9qtU2dU/hqdefault.jpg,Geek's Lesson,
9au5rC5NFmo,Cyber Security Tutorial - Demystifying Computers,Security,"<iframe src=""https://www.youtube.com/embed/9au5rC5NFmo&t=4s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/9au5rC5NFmo&t=4s/hqdefault.jpg,Geek's Lesson,
8CbrqiHv-R4,Machine Learning Tutorial: How optimization for machine learning works - part 1,Machine Learning,"<iframe src=""https://www.youtube.com/embed/8CbrqiHv-R4&t=2s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/8CbrqiHv-R4&t=2s/hqdefault.jpg,Geek's Lesson,
FT5f4RsJPMU,Cyber Security - Part 2: Cyber Security Terminology,Security,"<iframe src=""https://www.youtube.com/embed/FT5f4RsJPMU&t=1s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/FT5f4RsJPMU&t=1s/hqdefault.jpg,Geek's Lesson,
PVO2QXdxrDk,Cyber Security Tutorial - Part 1 : Why Study Cyber Security?,Security,"<iframe src=""https://www.youtube.com/embed/PVO2QXdxrDk&t=2s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/PVO2QXdxrDk&t=2s/hqdefault.jpg,Geek's Lesson,
